,Year,Cause Name,State,Deaths,Age-adjusted Death Rate,Underlying Cause,113 Code
28,2017,Unintentional injuries,Nebraska,811,38.5,Accidents ,"V01-X59,Y85-Y86"
29,2017,Unintentional injuries,Nevada,1496,47.8,Accidents ,"V01-X59,Y85-Y86"
30,2017,Unintentional injuries,New Hampshire,907,62.9,Accidents ,"V01-X59,Y85-Y86"
31,2017,Unintentional injuries,New Jersey,4482,47.3,Accidents ,"V01-X59,Y85-Y86"
32,2017,Unintentional injuries,New Mexico,1460,68.3,Accidents ,"V01-X59,Y85-Y86"
33,2017,Unintentional injuries,New York,7687,35.5,Accidents ,"V01-X59,Y85-Y86"
34,2017,Unintentional injuries,North Carolina,5985,56.3,Accidents ,"V01-X59,Y85-Y86"
35,2017,Unintentional injuries,North Dakota,339,41.3,Accidents ,"V01-X59,Y85-Y86"
36,2017,Unintentional injuries,Ohio,8971,75.1,Accidents ,"V01-X59,Y85-Y86"
37,2017,Unintentional injuries,Oklahoma,2563,62.5,Accidents ,"V01-X59,Y85-Y86"
38,2017,Unintentional injuries,Oregon,2076,44.8,Accidents ,"V01-X59,Y85-Y86"
39,2017,Unintentional injuries,Pennsylvania,9527,70.2,Accidents ,"V01-X59,Y85-Y86"
40,2017,Unintentional injuries,Rhode Island,718,60.0,Accidents ,"V01-X59,Y85-Y86"
41,2017,Unintentional injuries,South Carolina,3147,60.2,Accidents ,"V01-X59,Y85-Y86"
42,2017,Unintentional injuries,South Dakota,537,56.1,Accidents ,"V01-X59,Y85-Y86"
43,2017,Unintentional injuries,Tennessee,4435,63.0,Accidents ,"V01-X59,Y85-Y86"
44,2017,Unintentional injuries,Texas,10763,38.8,Accidents ,"V01-X59,Y85-Y86"
45,2017,Unintentional injuries,Utah,1238,44.2,Accidents ,"V01-X59,Y85-Y86"
46,2017,Unintentional injuries,Vermont,394,56.9,Accidents ,"V01-X59,Y85-Y86"
47,2017,Unintentional injuries,Virginia,3922,44.0,Accidents ,"V01-X59,Y85-Y86"
48,2017,Unintentional injuries,Washington,3455,44.0,Accidents ,"V01-X59,Y85-Y86"
49,2017,Unintentional injuries,West Virginia,1892,100.3,Accidents ,"V01-X59,Y85-Y86"
50,2017,Unintentional injuries,Wisconsin,3746,58.3,Accidents ,"V01-X59,Y85-Y86"
51,2017,Unintentional injuries,Wyoming,348,56.9,Accidents ,"V01-X59,Y85-Y86"
105,2017,Alzheimer's disease,Alabama,2563,45.2,Alzheimer's disease ,G30
106,2017,Alzheimer's disease,Alaska,98,22.1,Alzheimer's disease ,G30
107,2017,Alzheimer's disease,Arizona,3058,35.1,Alzheimer's disease ,G30
108,2017,Alzheimer's disease,Arkansas,1436,39.4,Alzheimer's disease ,G30
109,2017,Alzheimer's disease,California,16238,37.1,Alzheimer's disease ,G30
110,2017,Alzheimer's disease,Colorado,1830,34.2,Alzheimer's disease ,G30
111,2017,Alzheimer's disease,Connecticut,1077,20.4,Alzheimer's disease ,G30
112,2017,Alzheimer's disease,Delaware,377,30.6,Alzheimer's disease ,G30
113,2017,Alzheimer's disease,District of Columbia,125,17.6,Alzheimer's disease ,G30
114,2017,Alzheimer's disease,Florida,6980,20.7,Alzheimer's disease ,G30
115,2017,Alzheimer's disease,Georgia,4290,46.0,Alzheimer's disease ,G30
116,2017,Alzheimer's disease,Hawaii,465,19.7,Alzheimer's disease ,G30
117,2017,Alzheimer's disease,Idaho,672,36.6,Alzheimer's disease ,G30
118,2017,Alzheimer's disease,Illinois,4021,25.6,Alzheimer's disease ,G30
119,2017,Alzheimer's disease,Indiana,2771,35.3,Alzheimer's disease ,G30
120,2017,Alzheimer's disease,Iowa,1597,35.3,Alzheimer's disease ,G30
121,2017,Alzheimer's disease,Kansas,894,24.3,Alzheimer's disease ,G30
122,2017,Alzheimer's disease,Kentucky,1765,35.0,Alzheimer's disease ,G30
123,2017,Alzheimer's disease,Louisiana,2188,43.7,Alzheimer's disease ,G30
124,2017,Alzheimer's disease,Maine,601,30.4,Alzheimer's disease ,G30
125,2017,Alzheimer's disease,Maryland,1191,17.1,Alzheimer's disease ,G30
126,2017,Alzheimer's disease,Massachusetts,1841,19.9,Alzheimer's disease ,G30
127,2017,Alzheimer's disease,Michigan,4428,34.5,Alzheimer's disease ,G30
128,2017,Alzheimer's disease,Minnesota,2474,34.9,Alzheimer's disease ,G30
129,2017,Alzheimer's disease,Mississippi,1626,49.6,Alzheimer's disease ,G30
130,2017,Alzheimer's disease,Missouri,2545,32.3,Alzheimer's disease ,G30
131,2017,Alzheimer's disease,Montana,285,20.9,Alzheimer's disease ,G30
132,2017,Alzheimer's disease,Nebraska,698,28.5,Alzheimer's disease ,G30
133,2017,Alzheimer's disease,Nevada,779,27.3,Alzheimer's disease ,G30
134,2017,Alzheimer's disease,New Hampshire,436,24.8,Alzheimer's disease ,G30
135,2017,Alzheimer's disease,New Jersey,2829,23.6,Alzheimer's disease ,G30
136,2017,Alzheimer's disease,New Mexico,572,22.7,Alzheimer's disease ,G30
137,2017,Alzheimer's disease,New York,3521,13.2,Alzheimer's disease ,G30
138,2017,Alzheimer's disease,North Carolina,4289,37.3,Alzheimer's disease ,G30
139,2017,Alzheimer's disease,North Dakota,387,36.5,Alzheimer's disease ,G30
140,2017,Alzheimer's disease,Ohio,5117,33.6,Alzheimer's disease ,G30
141,2017,Alzheimer's disease,Oklahoma,1752,39.4,Alzheimer's disease ,G30
142,2017,Alzheimer's disease,Oregon,1850,36.0,Alzheimer's disease ,G30
143,2017,Alzheimer's disease,Pennsylvania,4213,21.7,Alzheimer's disease ,G30
144,2017,Alzheimer's disease,Rhode Island,435,27.3,Alzheimer's disease ,G30
145,2017,Alzheimer's disease,South Carolina,2549,45.0,Alzheimer's disease ,G30
146,2017,Alzheimer's disease,South Dakota,444,36.9,Alzheimer's disease ,G30
147,2017,Alzheimer's disease,Tennessee,3522,46.7,Alzheimer's disease ,G30
148,2017,Alzheimer's disease,Texas,9545,38.5,Alzheimer's disease ,G30
149,2017,Alzheimer's disease,Utah,991,42.1,Alzheimer's disease ,G30
150,2017,Alzheimer's disease,Vermont,370,42.9,Alzheimer's disease ,G30
151,2017,Alzheimer's disease,Virginia,2549,27.6,Alzheimer's disease ,G30
152,2017,Alzheimer's disease,Washington,3710,46.0,Alzheimer's disease ,G30
153,2017,Alzheimer's disease,West Virginia,770,30.6,Alzheimer's disease ,G30
154,2017,Alzheimer's disease,Wisconsin,2428,31.6,Alzheimer's disease ,G30
155,2017,Alzheimer's disease,Wyoming,212,32.7,Alzheimer's disease ,G30
157,2017,Stroke,Alabama,2931,50.0,Cerebrovascular diseases ,I60-I69
158,2017,Stroke,Alaska,190,35.1,Cerebrovascular diseases ,I60-I69
159,2017,Stroke,Arizona,2681,30.8,Cerebrovascular diseases ,I60-I69
160,2017,Stroke,Arkansas,1612,43.8,Cerebrovascular diseases ,I60-I69
161,2017,Stroke,California,16355,37.6,Cerebrovascular diseases ,I60-I69
162,2017,Stroke,Colorado,1988,35.8,Cerebrovascular diseases ,I60-I69
163,2017,Stroke,Connecticut,1403,27.8,Cerebrovascular diseases ,I60-I69
164,2017,Stroke,Delaware,571,46.2,Cerebrovascular diseases ,I60-I69
165,2017,Stroke,District of Columbia,246,35.9,Cerebrovascular diseases ,I60-I69
166,2017,Stroke,Florida,12602,38.9,Cerebrovascular diseases ,I60-I69
167,2017,Stroke,Georgia,4399,43.5,Cerebrovascular diseases ,I60-I69
168,2017,Stroke,Hawaii,764,37.5,Cerebrovascular diseases ,I60-I69
169,2017,Stroke,Idaho,726,38.5,Cerebrovascular diseases ,I60-I69
170,2017,Stroke,Illinois,6020,38.9,Cerebrovascular diseases ,I60-I69
171,2017,Stroke,Indiana,3150,40.2,Cerebrovascular diseases ,I60-I69
172,2017,Stroke,Iowa,1416,32.8,Cerebrovascular diseases ,I60-I69
173,2017,Stroke,Kansas,1355,37.7,Cerebrovascular diseases ,I60-I69
174,2017,Stroke,Kentucky,2050,39.4,Cerebrovascular diseases ,I60-I69
175,2017,Stroke,Louisiana,2460,47.4,Cerebrovascular diseases ,I60-I69
176,2017,Stroke,Maine,736,37.5,Cerebrovascular diseases ,I60-I69
177,2017,Stroke,Maryland,2820,40.2,Cerebrovascular diseases ,I60-I69
178,2017,Stroke,Massachusetts,2367,26.5,Cerebrovascular diseases ,I60-I69
179,2017,Stroke,Michigan,5002,39.3,Cerebrovascular diseases ,I60-I69
180,2017,Stroke,Minnesota,2250,32.6,Cerebrovascular diseases ,I60-I69
181,2017,Stroke,Mississippi,1723,51.1,Cerebrovascular diseases ,I60-I69
182,2017,Stroke,Missouri,3159,41.0,Cerebrovascular diseases ,I60-I69
183,2017,Stroke,Montana,487,35.6,Cerebrovascular diseases ,I60-I69
184,2017,Stroke,Nebraska,760,31.5,Cerebrovascular diseases ,I60-I69
185,2017,Stroke,Nevada,1137,35.9,Cerebrovascular diseases ,I60-I69
186,2017,Stroke,New Hampshire,514,28.9,Cerebrovascular diseases ,I60-I69
187,2017,Stroke,New Jersey,3474,30.2,Cerebrovascular diseases ,I60-I69
188,2017,Stroke,New Mexico,878,34.8,Cerebrovascular diseases ,I60-I69
189,2017,Stroke,New York,6264,24.6,Cerebrovascular diseases ,I60-I69
190,2017,Stroke,North Carolina,5098,43.0,Cerebrovascular diseases ,I60-I69
191,2017,Stroke,North Dakota,337,35.4,Cerebrovascular diseases ,I60-I69
192,2017,Stroke,Ohio,6425,42.8,Cerebrovascular diseases ,I60-I69
193,2017,Stroke,Oklahoma,1947,43.3,Cerebrovascular diseases ,I60-I69
194,2017,Stroke,Oregon,2066,39.9,Cerebrovascular diseases ,I60-I69
195,2017,Stroke,Pennsylvania,6700,36.5,Cerebrovascular diseases ,I60-I69
196,2017,Stroke,Rhode Island,425,29.4,Cerebrovascular diseases ,I60-I69
197,2017,Stroke,South Carolina,2691,44.9,Cerebrovascular diseases ,I60-I69
198,2017,Stroke,South Dakota,414,36.7,Cerebrovascular diseases ,I60-I69
199,2017,Stroke,Tennessee,3519,45.0,Cerebrovascular diseases ,I60-I69
200,2017,Stroke,Texas,10790,41.3,Cerebrovascular diseases ,I60-I69
201,2017,Stroke,Utah,888,36.2,Cerebrovascular diseases ,I60-I69
202,2017,Stroke,Vermont,249,28.9,Cerebrovascular diseases ,I60-I69
203,2017,Stroke,Virginia,3555,37.5,Cerebrovascular diseases ,I60-I69
204,2017,Stroke,Washington,3028,36.9,Cerebrovascular diseases ,I60-I69
205,2017,Stroke,West Virginia,1058,41.8,Cerebrovascular diseases ,I60-I69
206,2017,Stroke,Wisconsin,2513,33.5,Cerebrovascular diseases ,I60-I69
207,2017,Stroke,Wyoming,190,28.4,Cerebrovascular diseases ,I60-I69
209,2017,CLRD,Alabama,3484,57.8,Chronic lower respiratory diseases ,J40-J47
210,2017,CLRD,Alaska,204,35.9,Chronic lower respiratory diseases ,J40-J47
211,2017,CLRD,Arizona,3802,42.7,Chronic lower respiratory diseases ,J40-J47
212,2017,CLRD,Arkansas,2517,66.7,Chronic lower respiratory diseases ,J40-J47
213,2017,CLRD,California,13881,32.2,Chronic lower respiratory diseases ,J40-J47
214,2017,CLRD,Colorado,2604,45.6,Chronic lower respiratory diseases ,J40-J47
215,2017,CLRD,Connecticut,1471,30.4,Chronic lower respiratory diseases ,J40-J47
216,2017,CLRD,Delaware,526,40.8,Chronic lower respiratory diseases ,J40-J47
217,2017,CLRD,District of Columbia,137,19.6,Chronic lower respiratory diseases ,J40-J47
218,2017,CLRD,Florida,12619,39.0,Chronic lower respiratory diseases ,J40-J47
219,2017,CLRD,Georgia,4866,46.2,Chronic lower respiratory diseases ,J40-J47
220,2017,CLRD,Hawaii,378,19.0,Chronic lower respiratory diseases ,J40-J47
221,2017,CLRD,Idaho,925,47.3,Chronic lower respiratory diseases ,J40-J47
222,2017,CLRD,Illinois,5732,37.6,Chronic lower respiratory diseases ,J40-J47
223,2017,CLRD,Indiana,4375,55.2,Chronic lower respiratory diseases ,J40-J47
224,2017,CLRD,Iowa,1939,46.5,Chronic lower respiratory diseases ,J40-J47
225,2017,CLRD,Kansas,1832,51.7,Chronic lower respiratory diseases ,J40-J47
226,2017,CLRD,Kentucky,3480,64.5,Chronic lower respiratory diseases ,J40-J47
227,2017,CLRD,Louisiana,2467,46.6,Chronic lower respiratory diseases ,J40-J47
228,2017,CLRD,Maine,982,48.7,Chronic lower respiratory diseases ,J40-J47
229,2017,CLRD,Maryland,2079,29.9,Chronic lower respiratory diseases ,J40-J47
230,2017,CLRD,Massachusetts,2842,32.5,Chronic lower respiratory diseases ,J40-J47
231,2017,CLRD,Michigan,5688,44.3,Chronic lower respiratory diseases ,J40-J47
232,2017,CLRD,Minnesota,2464,36.3,Chronic lower respiratory diseases ,J40-J47
233,2017,CLRD,Mississippi,2037,58.3,Chronic lower respiratory diseases ,J40-J47
234,2017,CLRD,Missouri,3940,50.7,Chronic lower respiratory diseases ,J40-J47
235,2017,CLRD,Montana,752,53.5,Chronic lower respiratory diseases ,J40-J47
236,2017,CLRD,Nebraska,1224,52.6,Chronic lower respiratory diseases ,J40-J47
237,2017,CLRD,Nevada,1633,50.0,Chronic lower respiratory diseases ,J40-J47
238,2017,CLRD,New Hampshire,755,43.0,Chronic lower respiratory diseases ,J40-J47
239,2017,CLRD,New Jersey,3227,28.6,Chronic lower respiratory diseases ,J40-J47
240,2017,CLRD,New Mexico,1143,44.2,Chronic lower respiratory diseases ,J40-J47
241,2017,CLRD,New York,7258,28.9,Chronic lower respiratory diseases ,J40-J47
242,2017,CLRD,North Carolina,5540,45.3,Chronic lower respiratory diseases ,J40-J47
243,2017,CLRD,North Dakota,358,38.3,Chronic lower respiratory diseases ,J40-J47
244,2017,CLRD,Ohio,7312,48.5,Chronic lower respiratory diseases ,J40-J47
245,2017,CLRD,Oklahoma,3035,65.9,Chronic lower respiratory diseases ,J40-J47
246,2017,CLRD,Oregon,2088,39.7,Chronic lower respiratory diseases ,J40-J47
247,2017,CLRD,Pennsylvania,6667,37.1,Chronic lower respiratory diseases ,J40-J47
248,2017,CLRD,Rhode Island,521,36.2,Chronic lower respiratory diseases ,J40-J47
249,2017,CLRD,South Carolina,2983,47.9,Chronic lower respiratory diseases ,J40-J47
250,2017,CLRD,South Dakota,505,45.3,Chronic lower respiratory diseases ,J40-J47
251,2017,CLRD,Tennessee,4657,57.4,Chronic lower respiratory diseases ,J40-J47
252,2017,CLRD,Texas,10650,40.5,Chronic lower respiratory diseases ,J40-J47
253,2017,CLRD,Utah,826,32.1,Chronic lower respiratory diseases ,J40-J47
254,2017,CLRD,Vermont,375,43.0,Chronic lower respiratory diseases ,J40-J47
255,2017,CLRD,Virginia,3363,34.9,Chronic lower respiratory diseases ,J40-J47
256,2017,CLRD,Washington,3177,38.1,Chronic lower respiratory diseases ,J40-J47
257,2017,CLRD,West Virginia,1681,64.3,Chronic lower respiratory diseases ,J40-J47
258,2017,CLRD,Wisconsin,2834,38.3,Chronic lower respiratory diseases ,J40-J47
259,2017,CLRD,Wyoming,366,53.8,Chronic lower respiratory diseases ,J40-J47
261,2017,Diabetes,Alabama,1173,19.8,Diabetes mellitus ,E10-E14
262,2017,Diabetes,Alaska,130,19.3,Diabetes mellitus ,E10-E14
263,2017,Diabetes,Arizona,2054,23.7,Diabetes mellitus ,E10-E14
264,2017,Diabetes,Arkansas,1180,32.4,Diabetes mellitus ,E10-E14
265,2017,Diabetes,California,9595,22.1,Diabetes mellitus ,E10-E14
266,2017,Diabetes,Colorado,1017,17.2,Diabetes mellitus ,E10-E14
267,2017,Diabetes,Connecticut,694,14.5,Diabetes mellitus ,E10-E14
268,2017,Diabetes,Delaware,244,19.1,Diabetes mellitus ,E10-E14
269,2017,Diabetes,District of Columbia,138,20.1,Diabetes mellitus ,E10-E14
270,2017,Diabetes,Florida,6172,20.2,Diabetes mellitus ,E10-E14
271,2017,Diabetes,Georgia,2348,21.5,Diabetes mellitus ,E10-E14
272,2017,Diabetes,Hawaii,299,15.9,Diabetes mellitus ,E10-E14
273,2017,Diabetes,Idaho,394,20.3,Diabetes mellitus ,E10-E14
274,2017,Diabetes,Illinois,2927,19.2,Diabetes mellitus ,E10-E14
275,2017,Diabetes,Indiana,2096,26.6,Diabetes mellitus ,E10-E14
276,2017,Diabetes,Iowa,918,22.8,Diabetes mellitus ,E10-E14
277,2017,Diabetes,Kansas,874,25.2,Diabetes mellitus ,E10-E14
278,2017,Diabetes,Kentucky,1474,27.7,Diabetes mellitus ,E10-E14
279,2017,Diabetes,Louisiana,1272,23.9,Diabetes mellitus ,E10-E14
280,2017,Diabetes,Maine,395,19.8,Diabetes mellitus ,E10-E14
281,2017,Diabetes,Maryland,1439,20.3,Diabetes mellitus ,E10-E14
282,2017,Diabetes,Massachusetts,1321,15.1,Diabetes mellitus ,E10-E14
283,2017,Diabetes,Michigan,2798,22.1,Diabetes mellitus ,E10-E14
284,2017,Diabetes,Minnesota,1312,19.3,Diabetes mellitus ,E10-E14
285,2017,Diabetes,Mississippi,1164,33.3,Diabetes mellitus ,E10-E14
286,2017,Diabetes,Missouri,1605,21.0,Diabetes mellitus ,E10-E14
287,2017,Diabetes,Montana,292,21.6,Diabetes mellitus ,E10-E14
288,2017,Diabetes,Nebraska,575,25.0,Diabetes mellitus ,E10-E14
289,2017,Diabetes,Nevada,609,18.3,Diabetes mellitus ,E10-E14
290,2017,Diabetes,New Hampshire,340,19.2,Diabetes mellitus ,E10-E14
291,2017,Diabetes,New Jersey,1908,16.9,Diabetes mellitus ,E10-E14
292,2017,Diabetes,New Mexico,673,26.5,Diabetes mellitus ,E10-E14
293,2017,Diabetes,New York,4176,16.8,Diabetes mellitus ,E10-E14
294,2017,Diabetes,North Carolina,2903,23.6,Diabetes mellitus ,E10-E14
295,2017,Diabetes,North Dakota,194,21.8,Diabetes mellitus ,E10-E14
296,2017,Diabetes,Ohio,3740,25.2,Diabetes mellitus ,E10-E14
297,2017,Diabetes,Oklahoma,1398,30.6,Diabetes mellitus ,E10-E14
298,2017,Diabetes,Oregon,1243,23.9,Diabetes mellitus ,E10-E14
299,2017,Diabetes,Pennsylvania,3704,21.1,Diabetes mellitus ,E10-E14
300,2017,Diabetes,Rhode Island,275,18.8,Diabetes mellitus ,E10-E14
301,2017,Diabetes,South Carolina,1535,24.5,Diabetes mellitus ,E10-E14
302,2017,Diabetes,South Dakota,263,24.9,Diabetes mellitus ,E10-E14
303,2017,Diabetes,Tennessee,1915,24.0,Diabetes mellitus ,E10-E14
304,2017,Diabetes,Texas,5832,21.2,Diabetes mellitus ,E10-E14
305,2017,Diabetes,Utah,596,22.9,Diabetes mellitus ,E10-E14
306,2017,Diabetes,Vermont,163,19.2,Diabetes mellitus ,E10-E14
307,2017,Diabetes,Virginia,1967,20.1,Diabetes mellitus ,E10-E14
308,2017,Diabetes,Washington,1812,21.6,Diabetes mellitus ,E10-E14
309,2017,Diabetes,West Virginia,864,34.0,Diabetes mellitus ,E10-E14
310,2017,Diabetes,Wisconsin,1433,19.4,Diabetes mellitus ,E10-E14
311,2017,Diabetes,Wyoming,121,18.1,Diabetes mellitus ,E10-E14
313,2017,Heart disease,Alabama,13110,223.2,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
314,2017,Heart disease,Alaska,814,135.0,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
315,2017,Heart disease,Arizona,12398,141.9,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
316,2017,Heart disease,Arkansas,8270,223.8,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
317,2017,Heart disease,California,62797,142.9,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
318,2017,Heart disease,Colorado,7060,122.7,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
319,2017,Heart disease,Connecticut,7138,141.6,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
320,2017,Heart disease,Delaware,1990,158.4,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
321,2017,Heart disease,District of Columbia,1284,189.8,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
322,2017,Heart disease,Florida,46440,145.8,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
323,2017,Heart disease,Georgia,18389,175.8,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
324,2017,Heart disease,Hawaii,2575,129.8,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
325,2017,Heart disease,Idaho,3084,162.5,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
326,2017,Heart disease,Illinois,25394,163.3,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
327,2017,Heart disease,Indiana,14445,183.2,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
328,2017,Heart disease,Iowa,7180,167.4,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
329,2017,Heart disease,Kansas,5723,158.0,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
330,2017,Heart disease,Kentucky,10343,195.9,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
331,2017,Heart disease,Louisiana,11260,214.4,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
332,2017,Heart disease,Maine,2844,143.5,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
333,2017,Heart disease,Maryland,11653,164.5,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
334,2017,Heart disease,Massachusetts,12140,134.7,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
335,2017,Heart disease,Michigan,25187,196.1,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
336,2017,Heart disease,Minnesota,8230,119.1,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
337,2017,Heart disease,Mississippi,7944,231.6,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
338,2017,Heart disease,Missouri,14820,191.1,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
339,2017,Heart disease,Montana,2164,155.0,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
340,2017,Heart disease,Nebraska,3581,149.3,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
341,2017,Heart disease,Nevada,6417,199.3,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
342,2017,Heart disease,New Hampshire,2721,149.7,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
343,2017,Heart disease,New Jersey,18840,162.3,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
344,2017,Heart disease,New Mexico,3896,151.4,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
345,2017,Heart disease,New York,44092,171.2,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
346,2017,Heart disease,North Carolina,18808,156.5,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
347,2017,Heart disease,North Dakota,1326,137.8,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
348,2017,Heart disease,Ohio,28008,186.2,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
349,2017,Heart disease,Oklahoma,10772,237.2,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
350,2017,Heart disease,Oregon,6942,134.0,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
351,2017,Heart disease,Pennsylvania,32312,176.0,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
352,2017,Heart disease,Rhode Island,2339,155.7,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
353,2017,Heart disease,South Carolina,10418,172.0,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
354,2017,Heart disease,South Dakota,1710,150.1,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
355,2017,Heart disease,Tennessee,16019,202.2,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
356,2017,Heart disease,Texas,45346,169.2,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
357,2017,Heart disease,Utah,3749,150.2,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
358,2017,Heart disease,Vermont,1332,152.5,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
359,2017,Heart disease,Virginia,14861,154.5,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
360,2017,Heart disease,Washington,11582,138.8,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
361,2017,Heart disease,West Virginia,4849,192.0,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
362,2017,Heart disease,Wisconsin,11860,157.6,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
363,2017,Heart disease,Wyoming,1001,148.9,Diseases of heart ,"I00-I09,I11,I13,I20-I51"
365,2017,Influenza and pneumonia,Alabama,1176,20.2,Influenza and pneumonia ,J09-J18
366,2017,Influenza and pneumonia,Alaska,66,11.7,Influenza and pneumonia ,J09-J18
367,2017,Influenza and pneumonia,Arizona,876,10.1,Influenza and pneumonia ,J09-J18
368,2017,Influenza and pneumonia,Arkansas,720,19.8,Influenza and pneumonia ,J09-J18
369,2017,Influenza and pneumonia,California,6340,14.6,Influenza and pneumonia ,J09-J18
370,2017,Influenza and pneumonia,Colorado,577,10.1,Influenza and pneumonia ,J09-J18
371,2017,Influenza and pneumonia,Connecticut,675,13.1,Influenza and pneumonia ,J09-J18
